"year","nldasID","MLE","ensemble_est_env","ensemble_est_no_env","null_mle_pred","ensemble_env_err","ensemble_no_env_err","null_mle_err"
2006,"x69y71",0,0.0325311201855363,0.630224948345934,1.13532710283807,0.0325311201855363,0.630224948345934,1.13532710283807
2006,"x69y72",0,0.0090600734314154,0.181005762792889,0.0462338932228095,0.0090600734314154,0.181005762792889,0.0462338932228095
2006,"x70y70",0.168905162137149,0.0430113318955997,0.59422222545087,0.846253617832155,0.125893830241549,0.425317063313721,0.677348455695006
2006,"x71y69",0,0.0390930370244553,0.539931366593312,0.713379398551537,0.0390930370244553,0.539931366593312,0.713379398551537
2006,"x71y70",0.369901423837475,0.0254598761604828,0.341476607691593,0.393619976412665,0.344441547676992,0.0284248161458823,0.0237185525751899
2006,"x72y68",0.20271645529846,0.0441351484993526,0.705782112309207,0.992103311341619,0.158581306799107,0.503065657010747,0.789386856043159
2006,"x72y69",0.384861413742283,0.0696887620869257,1.04530884785307,1.3895955109815,0.315172651655357,0.660447434110787,1.00473409723922
2006,"x73y69",0,0.0428332904918135,0.757442827246649,0.992264871209111,0.0428332904918135,0.757442827246649,0.992264871209111
2007,"x69y71",0,0.326956561002672,0.571847377349531,1.13532710283807,0.326956561002672,0.571847377349531,1.13532710283807
2007,"x69y72",0,0.0994615402429432,0.167206734978228,0.0462338932228095,0.0994615402429432,0.167206734978228,0.0462338932228095
2007,"x70y70",0,0.35128751589084,0.550586497171712,0.857513961974632,0.35128751589084,0.550586497171712,0.857513961974632
2007,"x71y69",1.29212168854478,0.28529746490168,0.439887608214591,0.627237952648552,1.0068242236431,0.852234080330189,0.664883735896228
2007,"x71y70",0,0.212956587666951,0.32858961967188,0.418280071335163,0.212956587666951,0.32858961967188,0.418280071335163
2007,"x72y68",0.411741933583275,0.352330473693471,0.637916817699594,0.978168279455965,0.0594114598898041,0.226174884116319,0.56642634587269
2007,"x72y69",1.5012775191603,0.60015672710112,0.896379046260386,1.3151677706203,0.90112079205918,0.604898472899914,0.186109748539997
2007,"x73y69",0,0.337207796155495,0.696888173950599,0.992264871209111,0.337207796155495,0.696888173950599,0.992264871209111
2008,"x69y71",0.446428749413443,1.28562350388046,0.531278316093221,1.1055651862105,0.839194754467013,0.0848495666797777,0.659136436797059
2008,"x69y72",0,0.475443425056131,0.165474536386317,0.0462338932228095,0.475443425056131,0.165474536386317,0.0462338932228095
2008,"x70y70",0.932678488347415,1.06017034653519,0.497532943477443,0.795335396084804,0.127491858187771,0.435145544869972,0.137343092262611
2008,"x71y69",0.295732135339525,0.887906215284652,0.466876158203499,0.693663922862236,0.592174079945127,0.171144022863974,0.397931787522711
2008,"x71y70",0,0.671724129309883,0.317791633184387,0.418280071335163,0.671724129309883,0.317791633184387,0.418280071335163
2008,"x72y68",1.38217034468185,0.792635439858941,0.577083654874005,0.913473052049393,0.589534904822909,0.805086689807845,0.468697292632457
2008,"x72y69",1.41539430733431,1.56915601199158,0.876172579308247,1.32089331807537,0.153761704657269,0.539221728026063,0.0945009892589406
2008,"x73y69",1.07595247992491,1.57328774533684,0.624415787269466,0.920534705880784,0.497335265411934,0.451536692655444,0.155417774044126
2009,"x69y71",0,0.485880975450927,0.605620767779352,1.13532710283807,0.485880975450927,0.605620767779352,1.13532710283807
2009,"x69y72",0,0.351188921572936,0.170752945848305,0.0462338932228095,0.351188921572936,0.170752945848305,0.0462338932228095
2009,"x70y70",0,0.449076087928035,0.581952207240644,0.857513961974632,0.449076087928035,0.581952207240644,0.857513961974632
2009,"x71y69",0,0.316388155139015,0.518984308198281,0.713379398551537,0.316388155139015,0.518984308198281,0.713379398551537
2009,"x71y70",0,0.303618078750114,0.34564332286108,0.418280071335163,0.303618078750114,0.34564332286108,0.418280071335163
2009,"x72y68",0.328954782433596,0.475017308748129,0.674709068310996,0.983687422865943,0.146062526314533,0.3457542858774,0.654732640432347
2009,"x72y69",0.695436043875014,0.679344898090769,0.980702810211158,1.36889053563932,0.0160911457842452,0.285266766336144,0.673454491764309
2009,"x73y69",0,0.500299608996508,0.721409031245766,0.992264871209111,0.500299608996508,0.721409031245766,0.992264871209111
2010,"x68y71",0,0.306312486967084,0.633319599849901,1.45137363763885,0.306312486967084,0.633319599849901,1.45137363763885
2010,"x69y71",0,0.323345517690813,0.568829722780714,1.13532710283807,0.323345517690813,0.568829722780714,1.13532710283807
2010,"x69y72",0,0.117634566088391,0.167843049654499,0.0462338932228095,0.117634566088391,0.167843049654499,0.0462338932228095
2010,"x70y70",0,0.419703099157775,0.526676155139894,0.857513961974632,0.419703099157775,0.526676155139894,0.857513961974632
2010,"x70y71",0,0.17421413954016,0.200317805541185,0.116723301186009,0.17421413954016,0.200317805541185,0.116723301186009
2010,"x71y69",0.441268423180684,0.516927891886972,0.448432907172946,0.683961503672825,0.0756594687062884,0.00716448399226183,0.242693080492141
2010,"x71y70",0,0.439213061230264,0.308322329062063,0.418280071335163,0.439213061230264,0.308322329062063,0.418280071335163
2010,"x72y68",1.63315957678247,0.388653688358652,0.550222431525137,0.896740436576018,1.24450588842382,1.08293714525733,0.736419140206452
2010,"x72y69",1.43544527903835,1.19611278293869,0.836339264620236,1.31955658662843,0.239332496099663,0.599106014418114,0.115888692409917
2010,"x73y69",1.9336683366963,0.419125920188353,0.566300153899653,0.863353648762691,1.51454241650795,1.36736818279665,1.07031468793361
2011,"x68y71",0,2.00510575571783,0.69760098669565,1.45137363763885,2.00510575571783,0.69760098669565,1.45137363763885
