"year","MIR","MLE","MLE_L95","MLE_U95","Num_mos","var_mle","nldasID"
2006,0,0,0,0,3036,0,"x69y71"
2006,0,0,0,0,45,0,"x69y72"
2006,0.168520390967307,0.168905162137149,0.0462874524794413,0.61187141286376,11868,0.000247058370625776,"x70y70"
2006,0,0,0,0,1416,0,"x71y69"
2006,0.366568914956012,0.369901423837475,0.0649447259530064,2.04551146431719,2728,0.00069638786461061,"x71y70"
2006,0.202552157180474,0.20271645529846,0.0357778953835321,1.12870645805229,4937,0.00038377311318011,"x72y68"
2006,0.381606563632894,0.384861413742283,0.236749727871827,0.624212845038824,41928,0.000409630936906778,"x72y69"
2006,0,0,0,0,1363,0,"x73y69"
2007,0,0,0,0,1477,0,"x69y71"
2007,0,0,0,0,62,0,"x69y72"
2007,0,0,0,0,1605,0,"x70y70"
2007,1.26023944549464,1.29212168854478,0.499366556434275,3.2553402042559,3174,0.00156886259843064,"x71y69"
2007,0,0,0,0,3483,0,"x71y70"
2007,0.409332787556283,0.411741933583275,0.112694061251321,1.47842110864908,4886,0.000593074360814352,"x72y68"
2007,1.46391450739277,1.5012775191603,0.97119616439929,2.30563084882922,13662,0.00158320367781687,"x72y69"
2007,0,0,0,0,3195,0,"x73y69"
2008,0.446030330062444,0.446428749413443,0.0788310910209594,2.45249526973541,2242,0.000822057178121475,"x69y71"
2008,0,0,0,0,45,0,"x69y72"
2008,0.922083909635777,0.932678488347415,0.254909729185235,3.29519278985509,2169,0.00130471440558833,"x70y70"
2008,0.293599530240752,0.295732135339525,0.0519771700180291,1.64308995127561,3406,0.000561144148298384,"x71y69"
2008,0,0,0,0,2183,0,"x71y70"
2008,1.34066228716986,1.38217034468185,0.747777598281017,2.52427290285598,7459,0.00153192181614252,"x72y68"
2008,1.3750618777845,1.41539430733431,0.957505523641576,2.08184655435748,18181,0.0014956905585355,"x72y69"
2008,1.04863022676629,1.07595247992491,0.542948555299846,2.10588578298456,7629,0.00121277029889511,"x73y69"
2009,0,0,0,0,1180,0,"x69y71"
2009,0,0,0,0,19,0,"x69y72"
2009,0,0,0,0,1184,0,"x70y70"
2009,0,0,0,0,793,0,"x71y69"
2009,0,0,0,0,2333,0,"x71y70"
2009,0.326317506934247,0.328954782433596,0.0898996336682329,1.18657241934842,6129,0.000479702100541512,"x72y68"
2009,0.684150513112885,0.695436043875014,0.397075612525534,1.21155975740772,17540,0.000757221129641215,"x72y69"
2009,0,0,0,0,2246,0,"x73y69"
2010,0,0,0,0,1306,0,"x68y71"
2010,0,0,0,0,1984,0,"x69y71"
2010,0,0,0,0,641,0,"x69y72"
2010,0,0,0,0,3169,0,"x70y70"
2010,0,0,0,0,1048,0,"x70y71"
2010,0.437828371278459,0.441268423180684,0.120639134798101,1.58478906628268,4568,0.000637272333134969,"x71y69"
2010,0,0,0,0,5329,0,"x71y70"
2010,1.58123599947292,1.63315957678247,1.09609928262592,2.41851815816438,15178,0.00172735059318837,"x72y68"
2010,1.39406955276742,1.43544527903835,1.0406857805666,1.97298578132656,26541,0.00150126208724873,"x72y69"
2010,1.87055742611298,1.9336683366963,0.820556906101932,4.42193573621302,2673,0.00225613165703222,"x73y69"
2011,0,0,0,0,1590,0,"x68y71"
2011,1.81268882175227,1.8450098754402,0.844497908362389,3.95327304750507,3310,0.00208177831409033,"x69y71"
2011,0,0,0,0,1177,0,"x69y72"
2011,0.171232876712329,0.17195531909375,0.0302751437830652,0.965670534892624,5840,0.000332530254335471,"x70y70"
2011,0,0,0,0,1451,0,"x70y71"
2011,0,0,0,0,1763,0,"x71y69"
2011,0.189861401177141,0.190150383695407,0.0335475134155566,1.0604662574202,5267,0.000361462581766241,"x71y70"
2011,0.286697247706422,0.288416729619881,0.0789027323489082,1.04141372447006,6976,0.000420577208184055,"x72y68"
2011,1.20646666130459,1.2420476846074,0.867613973437178,1.76922749473072,24866,0.00131545085474053,"x72y69"
2011,0.829875518672199,0.847225361131865,0.230239852283057,3.01685287122962,2410,0.00121786242729876,"x73y69"
2012,0,0,0,0,1613,0,"x68y71"
2012,1.60384923817161,1.62081958117617,0.630494080948534,4.05659995094979,2494,0.00190513551466498,"x69y71"
